"season","sites","StationCode","N","turb_quan25","turb_quan5","turb_quan75","IQR"
"all","rest","309ALG",158,46.925,119.15,321.25,274.325
"all","rest","309ASB",157,18.5,36.4,71.4,52.9
"all","rest","309ESP",161,44.5,108.3,361.4,316.9
"all","rest","309GAB",41,236,432,1526,1290
"all","rest","309JON",160,22.625,51.75,146.85,124.225
"all","rest","309MER",162,54.45,106.55,213.7,159.25
"all","rest","309NAD",119,40.6,94.4,373.7,333.1
"all","rest","309OLD",114,35.7,89.15,176.85,141.15
"all","rest","309RTA",15,77.9,461,1412,1334.1
"all","rest","309TEH",162,68.85,114.2,219.65,150.8
"dry","rest","309ALG",67,26.9,55,156.7,129.8
"dry","rest","309ASB",67,11.85,22.6,42.15,30.3
"dry","rest","309ESP",67,13.35,68.9,217,203.65
"dry","rest","309GAB",13,236,349.3,1685.25,1449.25
"dry","rest","309JON",68,17.65,25.5,43.8,26.15
"dry","rest","309MER",69,42.3,76,122,79.7
"dry","rest","309NAD",55,41.6,108,266.1,224.5
"dry","rest","309OLD",49,25.5,74.8,108.2,82.7
"dry","rest","309RTA",7,48.4,71.1,272.85,224.45
"dry","rest","309TEH",69,57.1,88.2,159.4,102.3
"wet","rest","309ALG",91,72.1,196,612,539.9
"wet","rest","309ASB",90,27.25,51.45,102.45,75.2
"wet","rest","309ESP",94,64.575,153.1,535.75,471.175
"wet","rest","309GAB",28,239.025,530,1506.5,1267.475
"wet","rest","309JON",92,42.85,101.85,274.75,231.9
"wet","rest","309MER",93,66.9,156.2,367,300.1
"wet","rest","309NAD",64,39.95,82.65,555.25,515.3
"wet","rest","309OLD",65,55.7,102,222,166.3
"wet","rest","309RTA",8,840.5,1042,1789.75,949.25
"wet","rest","309TEH",93,83.8,140.3,398.8,315
"all","all","305BRS",30,9.6475,18.2,45.625,35.9775
"all","all","305CAN",109,2.4,5.91,17,14.6
"all","all","305CHI",165,9.45,22.4,50.4,40.95
"all","all","305COR",136,9.5625,19.3,38.025,28.4625
"all","all","305FRA",140,40.425,111.5,192.6,152.175
"all","all","305FUF",27,37.65,62.4,98.6,60.95
"all","all","305LCS",149,1.68,3.66,6.8,5.12
"all","all","305PJP",162,4.88,15.6,30.625,25.745
"all","all","305SJA",167,6.885,13.9,22.05,15.165
"all","all","305TSR",156,17.075,36,79.325,62.25
"all","all","305WCS",29,2.13,3.65,9.06,6.93
"all","all","305WSA",115,15.7,40.2,110.4,94.7
"all","all","309ALG",158,46.925,119.15,321.25,274.325
"all","all","309ASB",157,18.5,36.4,71.4,52.9
"all","all","309CCD",59,35.1,95.6,369,333.9
"all","all","309ESP",161,44.5,108.3,361.4,316.9
"all","all","309GAB",41,236,432,1526,1290
"all","all","309JON",160,22.625,51.75,146.85,124.225
"all","all","309MER",162,54.45,106.55,213.7,159.25
"all","all","309NAD",119,40.6,94.4,373.7,333.1
"all","all","309OLD",114,35.7,89.15,176.85,141.15
"all","all","309RTA",15,77.9,461,1412,1334.1
"all","all","309TEH",162,68.85,114.2,219.65,150.8
"all","all","310CCC",134,1.1475,2.155,3.85,2.7025
"all","all","310LBC",46,0.9425,1.88,4.2725,3.33
"all","all","310PRE",156,7.69,10.25,16.125,8.435
"all","all","310USG",154,1.57,2.7,4.84,3.27
"all","all","310WRP",102,1.205,2.425,5.765,4.56
"all","all","312BCC",55,24.45,141.6,573.5,549.05
"all","all","312BCJ",157,25.2,58.6,190.7,165.5
"all","all","312GVS",114,4.45,14.45,66.4,61.95
"all","all","312MSD",153,17.5,42.8,119,101.5
"all","all","312OFC",166,17.3,62.65,263.625,246.325
