"","N","turb_quan25","turb_quan5","turb_quan75","all_iqr"
"all",47,26.0633510638298,62.6835106382979,210.121755319149,184.058404255319
"not_rest",37,15.6466891891892,36.0331081081081,136.565472972973,120.918783783784
"rest",10,64.605,161.29,482.28,417.675
"ref",12,5.03854166666667,10.8783333333333,26.5479166666667,21.509375
"all",46,20.4955434782609,38.7765217391304,117.742391304348,97.246847826087
"not_rest",36,11.72625,23.4533333333333,65.075,53.34875
"rest",10,52.065,93.94,307.345,255.28
"ref",12,4.14041666666667,8.04125,16.805,12.6645833333333
"all",47,48.9914893617021,110.986808510638,288.539255319149,239.547765957447
"not_rest",37,20.8094594594595,71.9143243243243,194.516081081081,173.706621621622
"rest",10,153.265,255.555,636.425,483.16
"ref",12,6.76375,15.47875,37.2047916666667,30.4410416666667
