ATTRIBUTE,type,flow,slope,substrate
E1UBL,estuarine,perennial,low,unconsolidated
E2EMPx,estuarine,perennial,low,vegetated
L2USC,fresh,perennial,low,unconsolidated
PEM/SSC,fresh,intermittent,low,vegetated
PEM1A,fresh,intermittent,low,vegetated
PEMA,fresh,intermittent,low,vegetated
PEMC,fresh,intermittent,low,vegetated
PEMCd,fresh,intermittent,low,vegetated
PEMCx,fresh,intermittent,low,vegetated
PEMHx,fresh,intermittent,low,vegetated
PFO/SSC,fresh,intermittent,low,vegetated
PFOA,fresh,intermittent,low,vegetated
PFOC,fresh,intermittent,low,vegetated
PFOCh,fresh,intermittent,low,vegetated
PFOJ,fresh,intermittent,low,vegetated
PFOS,fresh,intermittent,low,vegetated
PSS/FOCx,fresh,intermittent,low,vegetated
PSS/USA,fresh,intermittent,low,vegetated
PSSA,fresh,intermittent,low,vegetated
PSSAx,fresh,intermittent,low,vegetated
PSSC,fresh,intermittent,low,vegetated
PSSCx,fresh,intermittent,low,vegetated
PUBF,fresh,intermittent,low,unconsolidated
PUBFx,fresh,intermittent,low,unconsolidated
PUSAx,fresh,intermittent,low,unconsolidated
PUSCx,fresh,intermittent,low,unconsolidated
R1UBV,fresh,perennial,low,unconsolidated
R2ABHx,fresh,perennial,low,vegetated
R2UBF,fresh,perennial,low,unconsolidated
R2UBFx,fresh,perennial,low,unconsolidated
R2UBG,fresh,perennial,low,unconsolidated
R2UBH,fresh,perennial,low,unconsolidated
R2UBHx,fresh,perennial,low,unconsolidated
R2USA,fresh,perennial,low,unconsolidated
R2USC,fresh,perennial,low,unconsolidated
R3UBF,fresh,perennial,high,unconsolidated
R3UBH,fresh,perennial,high,unconsolidated
R4SBA,fresh,perennial,low,unconsolidated
R4SBAx,fresh,perennial,low,unconsolidated
R4SBC,fresh,perennial,low,unconsolidated
R4SBCx,fresh,perennial,low,unconsolidated
R4SBJ,fresh,perennial,low,unconsolidated
R4USA,fresh,perennial,low,unconsolidated
R4USC,fresh,perennial,low,unconsolidated
R4USJ,fresh,perennial,low,unconsolidated
