comid,monitored
17682686,1
17682334,1
17682336,1
17682332,1
17682296,1
17682298,1
17682654,1
17682656,1
17682254,1
17682252,1
17682226,1
17682224,1
17682234,1
17682236,1
17682256,1
17682218,1
17682162,1
17682164,1
17682214,1
17682216,1
17682186,1
17682188,1
17682142,1
17682144,1
17682652,1
17682202,1
17682208,1
17682696,1
17682122,1
17682120,1
17682154,1
17682152,1
17682204,1
17682206,1
17682146,1
17682182,1
8193593,1
8193607,1
8193597,1
8192687,1
8192685,1
8192617,1
8192635,1
8192721,1
8192719,1
8192639,1
8192761,1
8192749,1
8192693,1
8192647,1
8192637,1
8193609,1
8192691,1
8192631,1
8192633,1
8192673,1
8192715,1
8190665,1
8190659,1
8191195,1
8190537,1
8190529,1
8191193,1
8190609,1
8190539,1
8190535,1
8190595,1
8190597,1
8190515,1
8190517,1
8191187,1
8190563,1
8190593,1
8190589,1
8190591,1
8190487,1
8190485,1
8190541,1
8190543,1
8190573,1
8190575,1
8190479,1
8190481,1
17605293,1
17604233,1
17604221,1
17605295,1
17604219,1
17604217,1
17604245,1
17604259,1
17604279,1
17604185,1
17604203,1
17604253,1
17604287,1
17604209,1
17604269,1
17604261,1
17604313,1
17604295,1
17604223,1
17604243,1
17604305,1
17605297,1
17604297,1
17604281,1
17604293,1
17604337,1
17605319,1
17604325,1
17605317,1
17604339,1
17604329,1
17604315,1
17605327,1
17604345,1
17604349,1
17604335,1
17605315,1
17604347,1
17604415,1
17604397,1
17604363,1
17604381,1
17604303,1
17604323,1
17604359,1
17604417,1
17605349,1
17605341,1
17604479,1
17604361,1
17604267,1
17604285,1
17604327,1
17605337,1
17604435,1
17604419,1
17604465,1
17604487,1
17604495,1
17604477,1
17604265,1
17604283,1
17604391,1
17604405,1
17604439,1
17604437,1
17604431,1
17604503,1
17604481,1
17604497,1
17604485,1
17604257,1
17604317,1
17604399,1
17604407,1
17604409,1
17604445,1
17604473,1
17604475,1
17604499,1
17604551,1
17604471,1
17604249,1
17604247,1
17605313,1
17604311,1
17604385,1
17604433,1
17605309,1
17604559,1
17604451,1
17604461,1
17604237,1
17604235,1
17604309,1
17604307,1
17605311,1
17604383,1
17604299,1
17604331,1
948060323,1
17604429,1
17604427,1
17604159,1
17604161,1
17605467,1
17604273,1
17604277,1
17604539,1
948060324,1
17604379,1
17604377,1
17604423,1
17604413,1
17604255,1
17604225,1
17604227,1
17604565,1
17604527,1
17604531,1
17604387,1
17604373,1
17604447,1
17604421,1
17604215,1
17604251,1
17604563,1
17605375,1
17604525,1
17604535,1
17604519,1
17604521,1
17604389,1
17604395,1
17604463,1
17604449,1
17605519,1
17604205,1
17604207,1
17605369,1
17605371,1
17605373,1
17604561,1
17604533,1
17604547,1
17605361,1
17605365,1
17604517,1
17605367,1
17605469,1
17604425,1
17604201,1
17604199,1
17604543,1
17604541,1
17604545,1
17604549,1
17605355,1
17604507,1
17604515,1
17605363,1
17604455,1
17604321,1
17604197,1
17604177,1
17605283,1
17604459,1
17604453,1
17605307,1
17604319,1
17604189,1
17604187,1
17604171,1
17604169,1
17604457,1
17604469,1
17604441,1
17604443,1
17604369,1
17605305,1
17604181,1
17604183,1
17604231,1
17604213,1
17604483,1
17604467,1
17605343,1
17604411,1
17604367,1
17605339,1
17604155,1
17605357,1
17605359,1
17605351,1
17605353,1
17605345,1
17605347,1
17604353,1
17604351,1
17604239,1
17604149,1
17604343,1
17605331,1
17604289,1
17604241,1
17604137,1
17604139,1
17605325,1
17605303,1
17604365,1
17604403,1
17604271,1
17604229,1
17604167,1
17604135,1
17604355,1
17604357,1
17605299,1
17604371,1
17605301,1
17604401,1
17596215,1
17595353,1
17595323,1
17595321,1
17595157,1
17595155,1
17594353,1
17594355,1
17594349,1
17594351,1
17594643,1
17594335,1
17657193,1
8204221,1
8204105,1
8204103,1
8192817,1
17663267,1
17663095,1
17665757,1
17662981,1
17663287,1
17663263,1
17663265,1
17663213,1
8201857,1
8201853,1
8201931,1
8200645,1
8200605,1
8201833,1
8200587,1
8200573,1
8201813,1
8201819,1
8200561,1
8200563,1
8200513,1
8200515,1
8200549,1
8201823,1
8200501,1
8200503,1
8201811,1
8200537,1
8200539,1
8200627,1
8200541,1
8200495,1
8200597,1
8200543,1
8200475,1
8200473,1
8200565,1
17663387,1
17663507,1
17663471,1
17663531,1
17663607,1
17663513,1
17663499,1
17663619,1
17663549,1
17663527,1
17663577,1
17665539,1
17663695,1
948060095,1
17665707,1
17663667,1
17665541,1
948060256,1
17665711,1
17665709,1
17663679,1
17663671,1
948060255,1
948060254,1
17663565,1
17663563,1
17663685,1
17665551,1
17663611,1
17663693,1
17663765,1
17663723,1
17663589,1
17663813,1
17663721,1
17663609,1
17663683,1
8193579,1
8193575,1
8192557,1
8192551,1
8192543,1
8192545,1
8193573,1
8193569,1
8192541,1
17619942,1
17619938,1
17619940,1
17619932,1
17619934,1
17620556,1
17619894,1
17619928,1
17619916,1
17619914,1
17620554,1
17619926,1
17620562,1
17619884,1
17619886,1
17620550,1
17619924,1
17619922,1
17619880,1
17620552,1
17619920,1
17619870,1
17620560,1
17619902,1
17619936,1
17620558,1
17661281,1
17661283,1
17595445,1
17595419,1
17595421,1
17595363,1
17595365,1
17595297,1
17595299,1
17595253,1
17596167,1
17596083,1
17595453,1
17596129,1
17595313,1
17595211,1
17596085,1
17595307,1
17595305,1
17663279,1
17663235,1
17663233,1
17663221,1
17663219,1
17663039,1
17663093,1
17663207,1
17663209,1
17663019,1
17663021,1
17662913,1
17662911,1
17663013,1
17663015,1
17662877,1
17662989,1
17662979,1
17595359,1
17595327,1
17595325,1
17596079,1
17596075,1
17595163,1
17594357,1
17595367,1
17596091,1
17596095,1
17595193,1
17595459,1
17595439,1
17596153,1
17596123,1
17596127,1
17595281,1
17595275,1
17595247,1
17595245,1
8192577,1
8193577,1
8192569,1
8192563,1
8192567,1
8192565,1
8192547,1
8192561,1
8192549,1
17595413,1
17661653,1
17661675,1
17661699,1
17661677,1
17661701,1
17662811,1
17661703,1
17661665,1
17662851,1
17662829,1
17662823,1
17662841,1
17661679,1
17661649,1
17662857,1
17662883,1
17662907,1
17662849,1
17661639,1
17682688,1
17682372,1
17682374,1
17682682,1
17682684,1
17682358,1
17682770,1
17682680,1
17682676,1
17682340,1
17682262,1
17682286,1
17682526,1
17682482,1
17682486,1
17682428,1
17682424,1
17682430,1
17682426,1
17682354,1
17596111,1
17595279,1
17595277,1
17595217,1
17595219,1
17595165,1
17595167,1
17594367,1
17594365,1
17682536,1
17682524,1
17596097,1
17595235,1
17595237,1
17595213,1
17595221,1
17595203,1
17595205,1
17595317,1
17595173,1
17595171,1
17595151,1
17595149,1
17594345,1
17594347,1
17594323,1
17594321,1
17594331,1
17594329,1
17594299,1
17594305,1
17594307,1
17594317,1
17594319,1
17594311,1
17594309,1
17594295,1
17594297,1
17661097,1
17662409,1
17662405,1
17662407,1
17662401,1
17662403,1
17661139,1
17661045,1
17662395,1
17662397,1
17662399,1
17661035,1
17661049,1
17661027,1
17662393,1
17662343,1
17662351,1
17661021,1
17662341,1
17661007,1
17662349,1
17660989,1
17661029,1
17661023,1
17661025,1
17661131,1
17661017,1
17661057,1
17661125,1
17661135,1
17595351,1
17595283,1
17596099,1
17596101,1
17596103,1
8193639,1
948060285,1
948060284,1
948060286,1
8192717,1
8193615,1
8192699,1
8192701,1
8192689,1
8192703,1
8193613,1
8192705,1
8192655,1
8192657,1
17607917,1
17607973,1
17607967,1
17608015,1
17607983,1
17608029,1
17608089,1
17608145,1
17608119,1
17608091,1
17608113,1
17608109,1
17608185,1
17609013,1
17608219,1
17609023,1
17608249,1
17609029,1
17608231,1
17608265,1
17684378,1
17684358,1
17684356,1
17683408,1
17683406,1
17683352,1
17683354,1
17683380,1
17683382,1
17683344,1
17683342,1
17683350,1
17683348,1
17683328,1
17683338,1
17683324,1
17683322,1
17683340,1
17683318,1
17683316,1
17683262,1
17683264,1
17683296,1
17683298,1
17683306,1
17683290,1
17683294,1
17683282,1
17683284,1
17683276,1
17683292,1
17683274,1
17683270,1
17683272,1
17683280,1
17683278,1
17683288,1
17683286,1
17683302,1
17683300,1
17683304,1
17673639,1
17671829,1
17671883,1
17671825,1
17671827,1
17671811,1
