"station_co","station_na","class"
"304WAD","Waddell Creek Lagoon at Highway 1","medium-low-unconsolidated"
"310SYB","Los Osos Creek @ Turri Rd no littering sign","head-low-unconsolidated"
"310PCO","Pico Creek @ Hwy 1","head-low-unconsolidated"
"309POT","Old Salinas River @ Potrero Rd","medium-low-unconsolidated"
"GVWTC1","Tecolote Creek Lagoon","head-low-unconsolidated"
"305THU","Pajaro River at Thurwachter Bridge","medium-low-vegetated"
"311SLE","Soda Lake northeast culvert @ Seven Mile Rd","head-low-unconsolidated"
"309CLCBVC","Chalone Creek","medium-low-vegetated"
"309CAW178","Rattle Snake Creek ~0.4mi above Pinal Creek","head-low-vegetated"
"312CAW031","Cuyama River ~1mi NE Carrizo Canyon Creek","medium-low-vegetated"
"310SLD","Davenport Creek @ Broad St","head-low-vegetated"
"305HAR","Harkins Slough at Harkins Slough Road","head-low-vegetated"
"305STL","Struve Slough at Lee Road","head-low-vegetated"
"309SOS","Chualar Creek @ Old Stage Rd (south branch)","head-low-vegetated"
"309SBC","Chualar Creek west side of Hwy 101 (south branch)","head-low-vegetated"
"305LLA","Llagas Creek at Bloomfield Avenue","medium-low-vegetated"
"309NOS","Chualar Creek @ Old Stage Rd (north branch)","head-low-vegetated"
"305SJA","San Juan Creek @ Anzar Rd","head-low-vegetated"
"305PRR","San Juan Creek @ Prescott Rd","head-low-vegetated"
"305SJN","San Juan Creek at Anzar Rd for RWB3 Site","head-low-vegetated"
"310LVR","Los Osos Creek Los Osos Valley Rd.","head-low-vegetated"
"310SBE","San Bernardo Creek @ Adobe Rd","head-low-vegetated"
"310CLK","Los Osos Creek Clark Valley Road","head-low-vegetated"
"310CLV","Los Osos Creek 1.0 mi downstream from 310CLK","head-low-vegetated"
"310MNO","San Bernardo Creek, Maino Ranch","head-low-vegetated"
"313WE0899","Shuman Creek Pt Sal Rd. ~1.4mi W Casmalia","head-low-vegetated"
"305SSCAUC","Swanson Creek above Uvas Cr.","head-low-vegetated"
