OBJECTID,station_co,station_na,COMID,GNIS_NAME,ATTRIBUTE
1,306-CARNE-36,Carneros Creek at Blohm Road,17605277,Elkhorn Slough,R2UBHx
2,306-CARNE-31,Carneros Creek at Johnson Road,17604037,Elkhorn Slough,R4SBCx
3,306-CARNE-32,Carneros Creek at mid entry to wetland,17604037,Elkhorn Slough,R4SBCx
4,306-CARNE-33A,"Carneros Creek- Sill Road, road flow",17604037,Elkhorn Slough,R4SBCx
5,306-CORNC-31,Corn Cob Canyon Creek/Watsonville Creek,17604009, ,R2UBHx
6,307-CARME-366,Carmel River @ Schulte Road - upstream,17600113,Carmel River,R2UBH
7,307-CARME-31,Carmel River at Cachuaga Community Center,17600733,Carmel River,R3UBH
8,307-CARME-38,Carmel River at Hwy 1 MBNMS,17600111,Carmel River,R2UBH
9,307-CARME-33,Carmel River at Rosie's Bridge,17600475,Carmel River,R3UBH
10,307-CARME-36,Carmel River at Schulte Road MBNMS,17600113,Carmel River,R2UBH
11,310CCC,Chorro Creek upstream from Chorro Flats,8192587,Chorro Creek,R2UBH
12,309HRT,Alisal Creek @ Hartnell Rd dogleg,948060323,Alisal Creek,R4SBCx
13,309ASB,Alisal Slough @ White Barn,17604415, ,R2UBHx
14,310USG,Arroyo Grande Creek @ old USGS gage,8193677,Arroyo Grande Creek,PFOC
15,315APF,Arroyo Paredon Creek at Foothill Bridge,17595455,Arroyo Paredon,R3UBH
16,315APC,Arroyo Paredon Creek at Via Real,17595455,Arroyo Paredon,R3UBH
17,305BRS,Beach Road Ditch at Shell Rd.,, ,R4SBCx
18,315BEF,Bell Creek @ Winchester Canyon Park,17595359, ,PFOC
19,309BLA,Blanco Drain below Pump,8201803,Salinas River,R2UBHx
20,312BCC,Bradley Canyon Creek @ culvert,17624263, ,
21,312BCJ,Bradley Channel @ Jones St,17624111, ,
22,314DDE,Canal Trib to Santa Ynez River @ W Central Ave,17607779, ,R4SBCx
23,305CAN,Carnadero Creek upstream of Pajaro River,17663007,Carnadero Creek,PFOA
24,309CRR,Chualar Creek @ Chualar River Rd,948060140,Chualar Creek,R4SBCx
25,309NOS,Chualar Creek @ Old Stage Rd (north branch),8201853,Chualar Creek,PEMCx
26,309SOS,Chualar Creek @ Old Stage Rd (south branch),8201857, ,PEMCx
27,309CCD,Chualar Creek west of Highway 101,948060140,Chualar Creek,R4SBCx
28,309SBC,Chualar Creek west side of Hwy 101 (south branch),8201857, ,PEMCx
29,310SLD,Davenport Creek @ Broad St,8192817, ,PEMA
30,309ESP,Espinosa Slough upstream of Alisal Slough,17604361, ,R4SBCx
