"","ref_names","StationCode","N","turb_quan25","turb_quan5","turb_quan75","ref_iqr"
"40","Lower Uvas Creek","305CAN",110,2.425,5.905,16.65,14.225
"41","Lower Uvas Creek","305CAR",29,4.3,7.7,15,10.7
"48","Lower Pajaro River","305CHI",215,12.8,28.6,58.85,46.05
"50","Salsipuedes Creek","305COR",175,7.26,17,38.85,31.59
"56","Lower Llagas Creek","305LCS",151,1.66,3.63,6.77,5.11
"78","San Juan Creek","305SJA",167,6.885,13.9,22.05,15.165
"79","San Juan Creek","305SJN",28,2.075,4.15,16.1,14.025
"91","Watsonville Slough","305WSA",142,14.05,40.1,109.875,95.825
"123","Elkhorn Slough (Watsonville Creek)","306WAC",29,1.1,3.2,8.1,7
"254","Chorro Creek","310CCC",313,0.84,1.51,2.7,1.86
"275","Pismo Creek","310PIS",168,0.1,1.8,6.3,6.2
"276","San Luis Obispo Creek","310PRE",188,6.8,9.895,15.5,8.7
"280","San Luis Obispo Creek","310SLB",178,0,0.375,2.4,2.4
"294","Chorro Creek","310TWB",434,0.6,1.105,2.1225,1.5225
"331","Oso Flaco Creek","312OFN",181,7.1,18.6,38.9,31.8
"335","Orcutt Creek (at Highway 1)","312ORI",199,9.175,22.3,89.25,80.075
"353","Lower San Antonio Creek","313SAI",166,0.4325,2.55,10.275,9.8425
"360","Santa Lucia Canyon-Santa Ynez River","314SYF",153,2.4,6.4,14.1,11.7
"362","Santa Miguelito Canyon-Santa Ynez River","314SYL",79,0.75,3.2,8.15,7.4
"363","Santa Lucia Canyon-Santa Ynez River","314SYN",220,0.3,2.895,10.875,10.575
"386","Dos Pueblos Canyon (Devereux Slough)","315DEV",25,14,24.3,44.8,30.8
