"","ref_names","StationCode","N","turb_quan25","turb_quan5","turb_quan75","ref_iqr"
"28","Lower Uvas Creek","305CAN",81,2.75,6,19.2,16.45
"29","Lower Uvas Creek","305CAR",17,5.3,9.2,13,7.7
"32","Lower Pajaro River","305CHI",129,15.9,29.3,62.7,46.8
"33","Salsipuedes Creek","305COR",107,8.385,19.3,47.35,38.965
"39","Lower Llagas Creek","305LCS",90,1.9025,3.855,9.4225,7.52
"55","San Juan Creek","305SJA",98,9.74,17.05,26.675,16.935
"56","San Juan Creek","305SJN",18,2.4,7.6,22.825,20.425
"65","Watsonville Slough","305WSA",94,14.975,48.2,111.775,96.8
"91","Elkhorn Slough (Watsonville Creek)","306WAC",16,2.75,4.65,11.475,8.725
"180","Chorro Creek","310CCC",195,0.825,1.53,2.93,2.105
"197","Pismo Creek","310PIS",97,0.1,1.7,6.3,6.2
"198","San Luis Obispo Creek","310PRE",108,6.51,9.895,21.15,14.64
"202","San Luis Obispo Creek","310SLB",101,0,0.9,4.5,4.5
"215","Chorro Creek","310TWB",274,0.6025,1.09,1.9725,1.37
"247","Oso Flaco Creek","312OFN",101,14.9,24.7,49.5,34.6
"251","Orcutt Creek (at Highway 1)","312ORI",114,13,52.6,170.65,157.65
"265","Lower San Antonio Creek","313SAI",98,0.525,3.65,10.925,10.4
"271","Santa Lucia Canyon-Santa Ynez River","314SYF",90,4.895,9.175,20.45,15.555
"273","Santa Miguelito Canyon-Santa Ynez River","314SYL",53,1.2,4.26,20.2,19
"274","Santa Lucia Canyon-Santa Ynez River","314SYN",139,0.26,3.8,14.35,14.09
"288","Dos Pueblos Canyon (Devereux Slough)","315DEV",15,14.6,24.9,54,39.4
