StationName,StationCode,Remove,Reason
Aptos Creek at Nisene Marks Park Road,304APS,0,
Aptos Creek at Spreckles Drive,304APT,0,
Aptos Creek @ Winfield,304APW,0,
Arana Gulch at Harbor High School,304ARA,0,
Bear Creek at Elks Park,304BEP,0,
Boulder Creek at Highway 9,304BH9,0,
Branciforte Creek at Water Street,304BRA,0,
San Vicente Creek at Davenport,304CAW016,0,
Soquel Creek ~0.2mi above Laurel Glen Rd.,304CAW081,0,
Scott Creek ~4mi below Little Basin,304CAW153,0,
Storm Drain at Creekside Plaza,304-CSD-06,1,Storm Drain
"Noble Gulch Creek at Kennedy Drive, trib to Soquel Creek",304-CSD-10,0,
Gazos Creek Lagoon at Highway 1,304GAZ,0,
San Lorenzo Estuary at Laurel Street,304LOR,1,Tidal often
Valencia Creek,304PS0006,0,
Lompico Creek,304PS0018,0,
Arana Gulch at Soquel Ave.,304PS0146,0,
East Waddell Creek ~0.7mi below Opal Cr.,304PS0194,0,
San Lorenzo River ~0.4mi above McGaffigan Rd.,304PS0253,0,
Zayante Creek above Grahm Hill Rd,304PS0274,0,
San Lorenzo River at Crossing Street,304RIV,0,
Scott Creek upstream Big Creek residences,304SCM,0,
Scott Creek Lagoon at Highway 1,304SCO,1,Tidal often
San Lorenzo River at Highway 9,304SL9,0,
San Lorenzo River at Big Trees Road,304SLB,0,
San Lorenzo Upstream Bear Creek,304SLE,0,
Soquel Creek at Knob Hill Parking Lot,304SOK,0,
Soquel Creek Lagoon at RR Trussels,304SOQ,0,
Soquel Creek at Soquel Creek Road,304SOU,0,
Sempervirens Creek above Hwy 236,304SPC236,0,
San Vicente Creek at the gate at the end of San Vicente Creek Road,304SVC,0,
Valencia Creek upstream Aptos Creek Confluence,304VAL,0,
Waddell Creek Lagoon at Highway 1,304WAD,0,
Waddell Creek ~1.8mi above Hwy 1,304WDCAH1,0,
Scott Creek ~0.7mi above Mill Creek,304WE1096,0,
Zayante Creek at Graham Hill Road,304ZAY,0,
San Juan creek @ 1st St and Christopher Ranch,305ACR,0,
"San Benito River, Bridge downstream Willow Creek",305BRI,0,
Beach Road Ditch at Shell Rd.,305BRS,0,
Carnadero Creek upstream of Pajaro River,305CAN,0,
Carnadero Creek at Private property access,305CAR,0,
Pacheco Creek ~1.3mi above South Fork,305CAW049,0,
Salsipuedes Creek ~0.6mi above Hw 129,305CAW057,0,
Bodfish Creek ~0.45mi below Whitehurst Rd.,305CAW097,0,
Uvas Creek ~0.4mi below Thomas Rd,305CAW161,0,
Clear Creek at USGS gauge and Oak Flat Camp,305CCUSGS,0,
Llagas Creek @ Chesbro Reservoir,305CHE,0,
Pajaro River at Chittenden Gap,305CHI,0,
Clear Creek,305CLCSBR,0,
Salsipuedes Creek downstream of Corralitos Creek,305COR,0,
Corralitos Creek at Brown Valley Road,305COR2,0,
Pajaro River at Frazier Lake Road,305FRA,0,
Furlong Creek at Frazier Lake Road,305FUF,0,
Harkins Slough at Harkins Slough Road,305HAR,0,
Llagas Creek at Holsclaw Road (downstream of Leavesley Road),305HOL,0,
Llagas Creek @ Southside,305LCS,0,
Llagas Creek at Leavesley Road,305LEA,0,
Laguna Creek,305LGCACR,0,
Llagas Creek above Baldy Ryan Cyn. Cr.,305LGCBRC,0,
Llagas Creek at Highway 152,305LHB,0,
Llagas Creek at Bloomfield Avenue,305LLA,0,
Llagas Creek @ Luchessa Avenue/Southside Drive,305LUC,0,
Manabe Phase 3,305MANDWx,1,Unknown waterbody type
Llagas Creek @ Monterey Rd,305MON,0,
Pajaro River at Murphy's Crossing,305MUR,0,
San Juan Creek @ Mission Vineyard Rd near Hwy 156,305MVR,0,
Llagas Creek @ Oak Glen Avenue,305OAK,0,
Pacheco Creek at San Felipe Road,305PAC,0,
Pajaro River at Betabel Road,305PAJ,0,
Pescadero Creek NE of Chittendon @ RR tracks,305PES,0,
Pajaro River at Porter/Main,305PJP,0,
San Juan Creek @ Prescott Rd,305PRR,0,
Pajaro River,305PS0034,0,
Pajaro River above Millers Canal,305PS0057,0,
Llagas Creek below E San Martin Ave.,305PS0061,0,
San Benito at Y Road,305SAN,0,
San Benito River at Hollister near 156,305SBH,0,
San Juan Creek @ Anzar Rd,305SJA,0,
San Juan Creek at Anzar Rd for RWB3 Site,305SJN,0,
Swanson Creek above Uvas Cr.,305SSCAUC,0,
Struve Slough at Lee Road,305STL,0,
Tesquisquita Slough at Shore Road,305TES,0,
Pajaro River at Thurwachter Bridge,305THU,0,
Tres Pinos Creek @ Southside Rd,305TRE,0,
Tequisquita Slough upstream Pajaro River @ Shore Rd,305TSR,0,
Uvas Creek at Bloomfield Avenue,305UVA,0,
Uvas Creek above Swanson Cyn. Cr.,305UVCASC,0,
Llagas Creek @ Buena Vista Avenue,305VIS,0,
Watsonville Creek (aka Corncob Canyon) at Elkhorn Rd/Hudson Lndg,305WCS,0,
Little Arthur Creek ~1mi W Redwood Retreat Rd.,305WE0883,0,
Watsonville Slough upstream Harkins Slough,305WSA,0,
Carneros Creek in Los Lomas @ Blohm Rd,306CAR,0,
Carneros Creek at Johnson Road,306-CARNE-31,0,
Carneros Creek at mid entry to wetland,306-CARNE-32,0,
"Carneros Creek- Sill Road, road flow",306-CARNE-33A,0,
Carneros Creek at Blohm Road,306-CARNE-36,0,
Corn Cob Canyon Creek/Watsonville Creek,306-CORNC-31,0,
Elkhorn Slough @ Kirby Park,306ELK,1,Tidal often
Moro Cojo Slough @ Moss Landing Harbor,306MCM,1,Tidal often
Oceanmist Bioreactor Outlet,306OMB-Discharge,1,Treatment effluent
Oceanmist Bioreactor Source,306OMB-Source,1,Treatment influent
PG&E Wetland outlet,306PGE-Discharge,1,Treatment effluent
PG&E Wetland midpoint,306PGE-MidPoint,1,Treatment influent
PG&E Wetland inlet at Castroville ditch,306PGE-Source1,1,Treatment influent
Castroville ditch downstream of the PGE wetland discharge,306PGE-Source2,1,Treatment effluent
PG&E Wetland inlet after treatment chambers,306PGE-Source3,1,Treatment system
Triple M Ranch lower Pond A in Area 1,306-POND-A,1,Pond/lake
Triple M Ranch lower Pond B in Area 1,306-POND-B,1,Pond/lake
Triple M Ranch lower Pond C in Area 1,306-POND-C,1,Pond/lake
Triple M Ranch lower Pond D in Area 2,306-POND-D,1,Pond/lake
Triple M Ranch lower Pond E in Area 2,306-POND-E,1,Pond/lake
Triple M Ranch lower Pond F in Area 2,306-POND-F,1,Pond/lake
Triple M Ranch lower Pond G in Area 2,306-POND-G,1,Pond/lake
Triple M Ranch lower Pond H in Area 2,306-POND-H,1,Pond/lake
Triple M Ranch lower Pond I in Area 2,306-POND-I,1,Pond/lake
Triple M Ranch lower Pond J in Area 2,306-POND-J,1,Pond/lake
Triple M Ranch lower Pond K in Area 2,306-POND-K,1,Pond/lake
Triple M Ranch upper Pond N in Area 5,306-POND-N,1,Pond/lake
Triple M Ranch upper Pond O in Area 5,306-POND-O,1,Pond/lake
Triple M Ranch upper Pond R in Area 5,306-POND-R,1,Pond/lake
Triple M Ranch upper Pond S in Area 5,306-POND-S,1,Pond/lake
Triple M Ranch upper Pond W in Area 5,306-POND-W,1,Pond/lake
Watsonville Creek @ Elkhorn Rd,306WAC,0,
Carmel River at Cachuaga Community Center,307-CARME-31,0,
Carmel River at Rosie's Bridge,307-CARME-33,0,
Carmel River at Schulte Road MBNMS,307-CARME-36,0,
Carmel River @ Schulte Road - upstream,307-CARME-366,0,
Carmel River at Hwy 1 MBNMS,307-CARME-38,0,
Carmel River CAW135,307CAW135,0,
San Clemente Creek ~1.3mi above Black Rock Creek,307CE0094,0,
Carmel River @ Schulte Rd,307CMD,0,
Carmel River at Highway 1,307CML,0,
Carmel River @ Nason Rd Community Park,307CMN,0,
Carmel River above Danish Cr.,307CMRADC,0,
