"","StationCode","N","turb_median","turb_max","turb_min","turb_quan1","turb_quan25","turb_quan5","turb_quan75","turb_quan9","turb_mean","N.gte.25","pct.gte.25","N.gte.40","pct.gte.40"
"304-CSD-06","304-CSD-06",48,0.44,2.84,0.18,0.2,0.285,0.44,0.7625,1.375,0.678333333333333,0,0,0,0
"304-CSD-10","304-CSD-10",56,3.375,11.8,1.07,1.86,2.535,3.375,4.2425,7.34,3.95678571428571,0,0,0,0
"304APS","304APS",26,1.35,64.7,0,0.05,0.7,1.35,4.35,22,8.26769230769231,2,7.69230769230769,2,7.69230769230769
"304APT","304APT",151,0.3,279.1,0,0,0,0.3,3.95,24.4,10.2909933774834,15,9.93377483443709,9,5.96026490066225
"304APW","304APW",22,2,286.2,0.1,0.1,0.525,2,4.5,7.08,15.5909090909091,1,4.54545454545455,1,4.54545454545455
"304ARA","304ARA",27,9.7,97.4,0,1.26,4.65,9.7,25.05,56.62,20.562962962963,7,25.9259259259259,6,22.2222222222222
"304BEP","304BEP",28,2,310.3,0.1,0.91,1.375,2,4.85,21.42,16.1928571428571,3,10.7142857142857,1,3.57142857142857
"304BH9","304BH9",28,1.4,80.8,0,0.07,0.4,1.4,3.125,10.38,5.80607142857143,1,3.57142857142857,1,3.57142857142857
"304BRA","304BRA",29,3,74.8,0,0.18,1.3,3,8.7,37.84,10.888275862069,5,17.2413793103448,3,10.3448275862069
"304CAW016","304CAW016",1,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,0,0,0,0
"304CAW081","304CAW081",1,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,0,0,0,0
"304CAW153","304CAW153",1,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0,0,0,0
"304GAZ","304GAZ",168,1.3,1000,0,0,0.1,1.3,4.2,13.43,25.0706547619048,11,6.54761904761905,10,5.95238095238095
"304LOR","304LOR",175,2.1,274.9,0,0,0.235,2.1,6.3,21.6,8.37428571428571,14,8,5,2.85714285714286
"304PS0006","304PS0006",2,2.94,4.18,1.7,1.948,2.32,2.94,3.56,3.932,2.94,0,0,0,0
"304PS0018","304PS0018",1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0,0,0,0
"304PS0146","304PS0146",2,8.825,12.66,4.99,5.757,6.9075,8.825,10.7425,11.893,8.825,0,0,0,0
"304PS0194","304PS0194",1,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,0,0,0,0
"304PS0253","304PS0253",2,0.455,0.91,0,0.0910000000000001,0.2275,0.455,0.6825,0.819,0.455,0,0,0,0
"304PS0274","304PS0274",1,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,0,0,0,0
"304RIV","304RIV",27,1.9,98.8,0,0.06,0.9,1.9,6.55,27.9,10.5,4,14.8148148148148,2,7.40740740740741
"304SCM","304SCM",27,0.6,14.5,0,0,0.1,0.6,1.35,4.16,1.82333333333333,0,0,0,0
"304SCO","304SCO",170,0.75,138.4,0,0,0.1,0.75,2.775,5.92,3.41752941176471,3,1.76470588235294,2,1.17647058823529
"304SL9","304SL9",28,1.65,183.8,0,0.24,1.075,1.65,2.975,16.93,10.7678571428571,2,7.14285714285714,1,3.57142857142857
"304SLB","304SLB",27,2.1,477,0,0.48,1.15,2.1,5.1,22.4,23.1037037037037,2,7.40740740740741,1,3.7037037037037
"304SLE","304SLE",27,3,182.4,0,0.82,1.5,3,4.9,17.04,12.1851851851852,2,7.40740740740741,2,7.40740740740741
"304SOK","304SOK",141,0.1,588,0,0,0,0.1,2.2,28.7,17.2371631205674,16,11.3475177304965,10,7.09219858156028
"304SOQ","304SOQ",35,2.6,159.2,0.1,0.1,0.62,2.6,6.85,14.5,14.1925714285714,3,8.57142857142857,3,8.57142857142857
"304SOU","304SOU",27,1.3,187.2,0,0.06,0.68,1.3,4.9,64.9,20.0559259259259,5,18.5185185185185,5,18.5185185185185
"304SPC236","304SPC236",1,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,0,0,0,0
"304SVC","304SVC",13,1.3,8.4,0,0.26,0.8,1.3,3.3,5.36,2.36923076923077,0,0,0,0
"304VAL","304VAL",25,5.4,160,0,0.42,2.6,5.4,24.4,71.42,26.216,6,24,5,20
"304WAD","304WAD",171,1.9,126.7,0,0,0.1,1.9,4.35,10.1,4.70578947368421,3,1.75438596491228,3,1.75438596491228
"304WDCAH1","304WDCAH1",1,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,0,0,0,0
"304WE1096","304WE1096",1,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,0,0,0,0
"304ZAY","304ZAY",30,2.85,47.2,0,0.09,1.1,2.85,5.025,25.2,7.16166666666667,4,13.3333333333333,1,3.33333333333333
"305ACR","305ACR",10,42.7,244,7,18.61,23.325,42.7,119,181.9,81.7,7,70,5,50
"305BRI","305BRI",27,8.6,1800,0,0.624,2.9,8.6,17,795.92,189.322222222222,6,22.2222222222222,6,22.2222222222222
"305BRS","305BRS",30,18.2,508,1.02,5.505,9.6475,18.2,45.625,98.8000000000002,53.1526666666667,12,40,9,30
"305CAN","305CAN",110,5.905,601,0,0.199,2.425,5.905,16.65,55.03,31.9962727272727,22,20,15,13.6363636363636
"305CAR","305CAR",29,7.7,116.6,0.1,2.28,4.3,7.7,15,28,14.3896551724138,4,13.7931034482759,2,6.89655172413793
"305CAW049","305CAW049",1,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,0,0,0,0
"305CAW057","305CAW057",1,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,0,0,0,0
"305CAW097","305CAW097",1,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0,0,0,0
"305CAW161","305CAW161",1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0
"305CCUSGS","305CCUSGS",1,1121,1121,1121,1121,1121,1121,1121,1121,1121,1,100,1,100
"305CHE","305CHE",10,2.45,43,0.1,0.46,0.65,2.45,6.05,18.79,7.64,1,10,1,10
