"","StationCode","N","turb_median","turb_max","turb_min","turb_quan1","turb_quan25","turb_quan5","turb_quan75","turb_quan9","turb_mean","N.gte.25","pct.gte.25","N.gte.40","pct.gte.40"
"305ACR","305ACR",10,42.7,244,7,18.61,23.325,42.7,119,181.9,81.7,7,70,5,50
"305BRS","305BRS",30,18.2,508,1.02,5.505,9.6475,18.2,45.625,98.8000000000002,53.1526666666667,12,40,9,30
"305CAN","305CAN",109,5.91,601,0,0.188,2.4,5.91,17,55.36,32.2714678899083,22,20.1834862385321,15,13.7614678899083
"305CHI","305CHI",165,22.4,1000,0,5.23,9.45,22.4,50.4,89.76,48.5013939393939,79,47.8787878787879,56,33.9393939393939
"305COR","305COR",136,19.3,2360,0,3.61,9.5625,19.3,38.025,95.95,68.2748529411765,51,37.5,33,24.2647058823529
"305FRA","305FRA",140,111.5,789,2.98,16.91,40.425,111.5,192.6,277.63,135.068071428571,119,85,105,75
"305FUF","305FUF",27,62.4,200,7.72,17.08,37.65,62.4,98.6,164.6,75.6851851851852,22,81.4814814814815,19,70.3703703703704
"305HOL","305HOL",1,154,154,154,154,154,154,154,154,154,1,100,1,100
"305LCS","305LCS",149,3.66,705,0,0.18,1.68,3.66,6.8,29.7600000000001,18.3870268456376,16,10.738255033557,9,6.04026845637584
"305LHB","305LHB",3,212,232,37.3,72.24,124.65,212,222,228,160.433333333333,3,100,2,66.6666666666667
"305LLA","305LLA",9,12.7,224,0.1,1.94,4.6,12.7,27.1,212.8,57.2666666666667,3,33.3333333333333,2,22.2222222222222
"305MVR","305MVR",10,27,236.6,0,8.82,15,27,49.35,162.26,57.94,5,50,3,30
"305PJP","305PJP",162,15.6,1000,0,2.255,4.88,15.6,30.625,95.98,51.5080864197531,47,29.0123456790123,35,21.6049382716049
"305PRR","305PRR",10,41.75,126,1.22,8.132,22.8,41.75,56.05,88.56,46.222,7,70,5,50
"305SAN","305SAN",10,29.45,59.3,0.1,2.62,9.925,29.45,32.75,45.44,26.24,7,70,2,20
"305SBH","305SBH",2,133,145,121,123.4,127,133,139,142.6,133,2,100,2,100
"305SJA","305SJA",167,13.9,712,0,1.6,6.885,13.9,22.05,46.86,32.1204191616766,33,19.7604790419162,21,12.5748502994012
"305STL","305STL",79,23.3,5000,0,3.96,9.35,23.3,70.4,185.4,218.891265822785,39,49.3670886075949,29,36.7088607594937
