"","StationCode","N","turb_median","turb_max","turb_min","turb_quan1","turb_quan25","turb_quan5","turb_quan75","turb_quan9","turb_mean","N.gte.25","pct.gte.25","N.gte.40","pct.gte.40"
"304-CSD-06","304-CSD-06",47,0.44,2.84,0.18,0.2,0.28,0.44,0.735,1.42,0.675106382978723,0,0,0,0
"304-CSD-10","304-CSD-10",55,3.4,11.8,1.07,1.844,2.6,3.4,4.245,7.406,3.98454545454545,0,0,0,0
"304APS","304APS",9,1.2,4.2,0.4,0.64,0.7,1.2,1.5,3.32,1.55555555555556,0,0,0,0
"304APT","304APT",61,0.1,19.1,0,0,0,0.1,1.5,4.2,1.48491803278689,0,0,0,0
"304APW","304APW",14,0.9,13.5,0.1,0.1,0.175,0.9,2.075,3.3,2.02142857142857,0,0,0,0
"304ARA","304ARA",10,6.35,21.3,0,1.08,2.4,6.35,9.3,11.22,6.87,0,0,0,0
"304BEP","304BEP",11,2,8.3,0.1,1.4,1.6,2,4.25,5,2.93636363636364,0,0,0,0
"304BH9","304BH9",11,1,4.4,0,0.1,0.1,1,1.8,3.5,1.30636363636364,0,0,0,0
"304BRA","304BRA",11,1.7,4.1,0.1,0.5,0.73,1.7,2.85,3,1.80545454545455,0,0,0,0
"304CAW016","304CAW016",1,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,0,0,0,0
"304CAW081","304CAW081",1,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,0,0,0,0
"304CAW153","304CAW153",1,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0,0,0,0
"304GAZ","304GAZ",73,0.9,40,0,0,0.1,0.9,3,6.18,2.68205479452055,1,1.36986301369863,1,1.36986301369863
"304LOR","304LOR",76,2.1,30.9,0,0,0.525,2.1,5.325,9.25,4.11671052631579,2,2.63157894736842,0,0
"304PS0006","304PS0006",2,2.94,4.18,1.7,1.948,2.32,2.94,3.56,3.932,2.94,0,0,0,0
"304PS0018","304PS0018",1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0,0,0,0
"304PS0146","304PS0146",2,8.825,12.66,4.99,5.757,6.9075,8.825,10.7425,11.893,8.825,0,0,0,0
"304PS0194","304PS0194",1,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,0,0,0,0
"304PS0253","304PS0253",2,0.455,0.91,0,0.0910000000000001,0.2275,0.455,0.6825,0.819,0.455,0,0,0,0
"304PS0274","304PS0274",1,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,0,0,0,0
"304RIV","304RIV",11,1.1,3.7,0,0,0.55,1.1,1.7,2,1.24545454545455,0,0,0,0
"304SCM","304SCM",11,0.7,3.6,0.1,0.32,0.435,0.7,1.2,1.8,1.01636363636364,0,0,0,0
"304SCO","304SCO",76,0.62,24.3,0,0,0.1,0.62,1.85,3.8,1.67986842105263,0,0,0,0
