"","StationCode","N","turb_median","turb_max","turb_min","turb_quan1","turb_quan25","turb_quan5","turb_quan75","turb_quan9","turb_mean","N.gte.25","pct.gte.25","N.gte.40","pct.gte.40"
"305ACR","305ACR",3,20.8,175,19.9,20.08,20.35,20.8,97.9,144.16,71.9,1,33.3333333333333,1,33.3333333333333
"305BRS","305BRS",13,18.5,187,1.02,6.214,13.9,18.5,43.9,63.48,36.9438461538462,4,30.7692307692308,4,30.7692307692308
"305CAN","305CAN",28,4.225,156,0,0.07,1.675,4.225,14.375,30.83,15.0603571428571,4,14.2857142857143,2,7.14285714285714
"305CHI","305CHI",67,19.8,323.2,0,3.87,7.585,19.8,44.7,65.7,34.4270149253731,28,41.7910447761194,21,31.3432835820896
"305COR","305COR",54,18.4,656,0,2.011,9.535,18.4,39.575,78.18,39.3212962962963,21,38.8888888888889,14,25.9259259259259
"305FRA","305FRA",52,151.6,789,2.98,37.11,88.875,151.6,218.025,313,179.970576923077,47,90.3846153846154,45,86.5384615384615
"305FUF","305FUF",12,63.1,200,36.5,50.39,55.175,63.1,116,155.6,87.9083333333333,12,100,11,91.6666666666667
"305HOL","305HOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"305LCS","305LCS",59,3.52,88.2,0,0.0800000000000001,1.25,3.52,6.195,11.12,6.13977966101695,2,3.38983050847458,1,1.69491525423729
"305LHB","305LHB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"305LLA","305LLA",2,117.9,224,11.8,33.02,64.85,117.9,170.95,202.78,117.9,1,50,1,50
"305MVR","305MVR",3,23.8,30.2,13.6,15.64,18.7,23.8,27,28.92,22.5333333333333,1,33.3333333333333,0,0
"305PJP","305PJP",66,7.455,120,0,1.55,3.5875,7.455,17.15,23.25,13.2324242424242,6,9.09090909090909,3,4.54545454545455
"305PRR","305PRR",3,84.4,126,29.7,40.64,57.05,84.4,105.2,117.68,80.0333333333333,3,100,2,66.6666666666667
"305SAN","305SAN",3,30.7,32.6,3.9,9.26,17.3,30.7,31.65,32.22,22.4,2,66.6666666666667,0,0
"305SBH","305SBH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"305SJA","305SJA",69,9,128,0,0,5.72,9,16.1,25.46,14.3382608695652,7,10.1449275362319,6,8.69565217391304
"305STL","305STL",32,28.4,5000,0,4.22,9.275,28.4,82.475,482.100000000001,322.353125,19,59.375,14,43.75
"305TSR","305TSR",61,36.1,2878,5.83,10.9,18.5,36.1,101,260,128.911639344262,37,60.655737704918,29,47.5409836065574
"305WCS","305WCS",13,2.35,69.7,1.34,1.57,1.73,2.35,3.65,13.248,8.53076923076923,1,7.69230769230769,1,7.69230769230769
"305WSA","305WSA",38,22.65,400,1.7,7.304,14.45,22.65,99,191.42,71.6097368421053,18,47.3684210526316,15,39.4736842105263
"309ALG","309ALG",67,55,505,0,13.52,26.9,55,156.7,243.6,104.598507462687,53,79.1044776119403,45,67.1641791044776
"309ASB","309ASB",67,22.6,3000,2.3,6.2,11.85,22.6,42.15,72.36,79.2641791044776,30,44.7761194029851,18,26.865671641791
"309AVR","309AVR",5,26.9,40.3,5,6.8,9.5,26.9,36.1,38.62,23.56,3,60,1,20
"309BLA","309BLA",69,27.3,3000,0.1,4.48,11,27.3,63.7,102.38,90.3,38,55.0724637681159,27,39.1304347826087
"309CCD","309CCD",30,70.35,1630,7,16.92,29.825,70.35,466,697.8,283.026666666667,23,76.6666666666667,20,66.6666666666667
"309CRR","309CRR",26,1567.5,4180,13.8,170.7,533.25,1567.5,2792,3000,1634.84230769231,25,96.1538461538462,25,96.1538461538462
"309ESP","309ESP",67,68.9,3000,0.1,5.72,13.35,68.9,217,507.2,210.641791044776,45,67.1641791044776,43,64.1791044776119
"309GAB","309GAB",13,349.3,3000,74.8,198.68,236,349.3,1685.25,2786.2,981.888461538462,13,100,13,100
"309GRN","309GRN",48,28.9,694,0.2,9.2,11.375,28.9,53.4,103.59,51.3975,26,54.1666666666667,19,39.5833333333333
"309HRT","309HRT",4,1126.5,1516,535,708.7,969.25,1126.5,1233.25,1402.9,1076,4,100,4,100
"309JON","309JON",68,25.5,3000,0,5.24,17.65,25.5,43.8,86.96,80.3044117647059,34,50,22,32.3529411764706
"309MER","309MER",69,76,3000,4.1,22.4,42.3,76,122,182.96,131.023188405797,61,88.4057971014493,54,78.2608695652174
"309NAD","309NAD",55,108,3000,10.8,25.42,41.6,108,266.1,540.4,286.378181818182,49,89.0909090909091,42,76.3636363636364
"309NOS","309NOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"309OLD","309OLD",49,74.8,3000,4,12.9,25.5,74.8,108.2,250.82,166.587755102041,37,75.5102040816327,32,65.3061224489796
"309QCW","309QCW",4,1127,3000,46.8,193.26,412.95,1127,2039.25,2615.7,1325.2,4,100,4,100
"309QUA","309QUA",4,37.95,93.3,12.7,19.99,30.925,37.95,52.5,76.98,45.475,3,75,1,25
"309QUI","309QUI",55,83.5,3000,0,14.2,29.1,83.5,272.65,623.4,304.638181818182,43,78.1818181818182,36,65.4545454545455
"309RTA","309RTA",7,71.1,8023,33.4,39.1,48.4,71.1,272.85,3485.8,1252.85714285714,7,100,6,85.7142857142857
"309SAC","309SAC",40,60.9,254,1.6,21.38,36.275,60.9,108.05,171.49,80.63,35,87.5,29,72.5
"309SAG","309SAG",37,53.8,344.6,11.5,19.3,29.2,53.8,101.3,199.86,87.2810810810811,32,86.4864864864865,23,62.1621621621622
"309SBC","309SBC",4,270.9,474,106.1,120.47,142.025,270.9,409.35,448.14,280.475,4,100,4,100
"309SOS","309SOS",3,437,852,427,429,432,437,644.5,769,572,3,100,3,100
"309SSP","309SSP",42,36.85,326.2,1.4,10.43,24.325,36.85,57.9,84.12,53.1380952380952,31,73.8095238095238,20,47.6190476190476
"309SUN","309SUN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"309TEH","309TEH",69,88.2,3000,5.9,26.7,57.1,88.2,159.4,221.04,157.530434782609,62,89.8550724637681,57,82.6086956521739
"309UQA","309UQA",4,103.55,2384,4.6,6.7,9.85,103.55,742.625,1727.45,648.925,2,50,2,50
"309USA","309USA",5,17,254.1,7.2,8.68,10.9,17,19,160.06,61.64,1,20,1,20
"310CCC","310CCC",50,2.4,20.3,0.1,0.308,1.2,2.4,3.295,6.219,3.0982,0,0,0,0
"310LBC","310LBC",11,1.7,3.8,0.1,0.1,0.6,1.7,2.18,2.82,1.54363636363636,0,0,0,0
"310PRE","310PRE",67,10.3,98.3,0.1,5.292,7.68,10.3,13.65,19.7,12.7186567164179,5,7.46268656716418,1,1.49253731343284
"310SLD","310SLD",2,3.75,7.4,0.1,0.830000000000001,1.925,3.75,5.575,6.67,3.75,0,0,0,0
"310USG","310USG",66,2.75,22.7,0.1,1.065,1.8,2.75,4.07,9.965,4.20151515151515,0,0,0,0
"310WRP","310WRP",40,1.4,22.2,0.1,0.1,0.6525,1.4,2.625,4.568,2.50675,0,0,0,0
"312BCC","312BCC",23,25.8,3000,3.4,5.012,8.92,25.8,153.8,327.96,212.960869565217,12,52.1739130434783,10,43.4782608695652
"312BCJ","312BCJ",71,33.1,738.3,1.97,10.3,19.3,33.1,84.2,332.2,92.7191549295775,45,63.3802816901408,29,40.8450704225352
"312BSR","312BSR",5,28.9,77.3,6.6,10.72,16.9,28.9,70,74.38,39.94,3,60,2,40
"312GVS","312GVS",50,5.67,1000,0.1,1.64,3.525,5.67,17.475,105.39,55.9082,8,16,7,14
"312MAB","312MAB",5,12.6,50.6,8.5,8.74,9.1,12.6,37.1,45.2,23.58,2,40,1,20
"312MSD","312MSD",64,21.4,1043.2,0.1,10.2,12.425,21.4,40.325,130.52,75.13203125,30,46.875,16,25
"312MSS","312MSS",5,15.2,29.6,8.4,10.12,12.7,15.2,22,26.56,17.58,1,20,0,0
