"","StationCode","N","turb_median","turb_max","turb_min","turb_quan1","turb_quan25","turb_quan5","turb_quan75","turb_quan9","turb_mean","N.gte.25","pct.gte.25","N.gte.40","pct.gte.40"
"304-CSD-06","304-CSD-06",1,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0,0,0,0
"304-CSD-10","304-CSD-10",1,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,0,0,0,0
"304APS","304APS",17,3.5,64.7,0,0,0.3,3.5,16,35.82,11.8211764705882,2,11.7647058823529,2,11.7647058823529
"304APT","304APT",90,1.55,279.1,0,0,0,1.55,8.55,39.8600000000001,16.2595555555556,15,16.6666666666667,9,10
"304APW","304APW",8,4.95,286.2,1.9,2.04,2.175,4.95,5.65,90.9699999999999,39.3375,1,12.5,1,12.5
"304ARA","304ARA",17,13,97.4,0.1,3.16,6.6,13,49.1,66.4,28.6176470588235,7,41.1764705882353,6,35.2941176470588
"304BEP","304BEP",17,2.6,310.3,0.1,0.88,1.1,2.6,12.4,29.68,24.7705882352941,3,17.6470588235294,1,5.88235294117647
"304BH9","304BH9",17,2.3,80.8,0,0.06,1,2.3,5.1,17.96,8.71764705882353,1,5.88235294117647,1,5.88235294117647
"304BRA","304BRA",18,6.4,74.8,0,0.17,2.3,6.4,27.325,44.09,16.4388888888889,5,27.7777777777778,3,16.6666666666667
"304GAZ","304GAZ",95,1.5,1000,0,0,0.1,1.5,7.6,32.7400000000001,42.2745263157895,10,10.5263157894737,9,9.47368421052632
"304LOR","304LOR",99,2.1,274.9,0,0,0.115,2.1,8.2,27.28,11.6427272727273,12,12.1212121212121,5,5.05050505050505
"304RIV","304RIV",16,4.7,98.8,0,0.1,1.25,4.7,20.275,46.95,16.8625,4,25,2,12.5
"304SCM","304SCM",16,0.295,14.5,0,0,0.075,0.295,1.275,9.3,2.378125,0,0,0,0
"304SCO","304SCO",94,1,138.4,0,0,0.1,1,3.675,7.58,4.82244680851064,3,3.19148936170213,2,2.12765957446809
"304SL9","304SL9",17,2.2,183.8,0,0.22,1.1,2.2,13.6,23,16.6764705882353,2,11.7647058823529,1,5.88235294117647
"304SLB","304SLB",17,2.9,477,0,0.4,1.4,2.9,13.9,29.6,35.3,2,11.7647058823529,1,5.88235294117647
"304SLE","304SLE",17,2.9,182.4,0,0.82,1.8,2.9,9.7,25.8,16.7823529411765,2,11.7647058823529,2,11.7647058823529
"304SOK","304SOK",82,0.125,588,0,0,0,0.125,5.475,44.63,28.8628048780488,16,19.5121951219512,10,12.1951219512195
"304SOQ","304SOQ",17,4.9,159.2,0.3,0.484,2.2,4.9,12.2,100,26.1905882352941,3,17.6470588235294,3,17.6470588235294
"304SOU","304SOU",17,2.6,187.2,0,0,0.4,2.6,43.4,99,30.9176470588235,5,29.4117647058824,5,29.4117647058824
"304SVC","304SVC",7,1.1,8.4,0,0.12,0.55,1.1,4.5,6.78,2.8,0,0,0,0
"304VAL","304VAL",16,10.55,160,0,0.5,3.375,10.55,60.725,114.15,37.70625,6,37.5,5,31.25
"304WAD","304WAD",95,2,126.7,0,0,0.1,2,5.85,11.1,6.28052631578947,3,3.15789473684211,3,3.15789473684211
"304ZAY","304ZAY",18,3.4,47.2,0,0.52,2.55,3.4,17.2,29.61,10.6666666666667,4,22.2222222222222,1,5.55555555555556
"305ACR","305ACR",7,51.4,244,7,21.34,32.45,51.4,117,170.2,85.9,6,85.7142857142857,4,57.1428571428571
"305BRI","305BRI",16,15.9,1800,0.4,1.25,7.15,15.9,335.025,1064.4,316.3875,6,37.5,6,37.5
"305BRS","305BRS",17,17.9,508,2.1,5.508,9.6,17.9,46.2,138.6,65.5476470588235,8,47.0588235294118,5,29.4117647058824
"305CAN","305CAN",81,6,601,0,0.8,2.75,6,19.2,67.7,38.220987654321,18,22.2222222222222,13,16.0493827160494
