"","StationCode","N","turb_median","turb_max","turb_min","turb_quan1","turb_quan25","turb_quan5","turb_quan75","turb_quan9","turb_mean","N.gte.25","pct.gte.25","N.gte.40","pct.gte.40"
"304-CSD-10","304-CSD-10",55,3.4,11.8,1.07,1.844,2.6,3.4,4.245,7.406,3.98454545454545,0,0,0,0
"304APS","304APS",9,1.2,4.2,0.4,0.64,0.7,1.2,1.5,3.32,1.55555555555556,0,0,0,0
"304APT","304APT",61,0.1,19.1,0,0,0,0.1,1.5,4.2,1.48491803278689,0,0,0,0
"304APW","304APW",12,0.9,13.5,0.1,0.1,0.25,0.9,1.825,3.19,2.05833333333333,0,0,0,0
"304ARA","304ARA",10,6.35,21.3,0,1.08,2.4,6.35,9.3,11.22,6.87,0,0,0,0
"304BEP","304BEP",11,2,8.3,0.1,1.4,1.6,2,4.25,5,2.93636363636364,0,0,0,0
"304BH9","304BH9",11,1,4.4,0,0.1,0.1,1,1.8,3.5,1.30636363636364,0,0,0,0
"304BRA","304BRA",11,1.7,4.1,0.1,0.5,0.73,1.7,2.85,3,1.80545454545455,0,0,0,0
"304CAW016","304CAW016",1,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,0,0,0,0
"304CAW081","304CAW081",1,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,0,0,0,0
"304CAW153","304CAW153",1,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0,0,0,0
"304GAZ","304GAZ",71,0.9,40,0,0,0.1,0.9,2.85,6.2,2.66042253521127,1,1.40845070422535,1,1.40845070422535
"304PS0006","304PS0006",2,2.94,4.18,1.7,1.948,2.32,2.94,3.56,3.932,2.94,0,0,0,0
"304PS0018","304PS0018",1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0,0,0,0
"304PS0146","304PS0146",2,8.825,12.66,4.99,5.757,6.9075,8.825,10.7425,11.893,8.825,0,0,0,0
"304PS0194","304PS0194",1,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,0,0,0,0
"304PS0253","304PS0253",2,0.455,0.91,0,0.0910000000000001,0.2275,0.455,0.6825,0.819,0.455,0,0,0,0
"304PS0274","304PS0274",1,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,0,0,0,0
"304RIV","304RIV",11,1.1,3.7,0,0,0.55,1.1,1.7,2,1.24545454545455,0,0,0,0
"304SCM","304SCM",11,0.7,3.6,0.1,0.32,0.435,0.7,1.2,1.8,1.01636363636364,0,0,0,0
"304SL9","304SL9",11,1.5,3.2,0,0.9,1.05,1.5,2.4,2.5,1.63636363636364,0,0,0,0
"304SLB","304SLB",10,1.6,6.2,0.3,0.93,1.125,1.6,3.675,4.58,2.37,0,0,0,0
"304SLE","304SLE",10,3.3,18.3,0.1,1.27,1.5,3.3,4.8,6.24,4.37,0,0,0,0
"304SOK","304SOK",59,0.1,13.1,0,0,0,0.1,0.8,2.94,1.07949152542373,0,0,0,0
"304SOQ","304SOQ",16,1.85,14.5,0.1,0.1,0.1,1.85,2.925,8.2,2.94375,0,0,0,0
"304SOU","304SOU",10,1,4.3,0.2,0.524,0.8125,1,2.05,3.31,1.591,0,0,0,0
"304SPC236","304SPC236",1,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,0,0,0,0
"304SVC","304SVC",6,1.45,4,0.5,0.65,0.925,1.45,2.65,3.5,1.86666666666667,0,0,0,0
"304VAL","304VAL",9,3.5,24.4,0,1.68,2.5,3.5,5.4,10.72,5.78888888888889,0,0,0,0
"304WAD","304WAD",74,1.65,23.4,0,0,0.1,1.65,3.5,7.1,2.74108108108108,0,0,0,0
"304WDCAH1","304WDCAH1",1,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,0,0,0,0
"304WE1096","304WE1096",1,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,0,0,0,0
"304ZAY","304ZAY",12,1.1,7,0,0.01,0.4375,1.1,2.025,5.28,1.90416666666667,0,0,0,0
"305ACR","305ACR",3,20.8,175,19.9,20.08,20.35,20.8,97.9,144.16,71.9,1,33.3333333333333,1,33.3333333333333
"305BRI","305BRI",11,3.4,10.5,0,0.64,1.68,3.4,7.55,9.8,4.5,0,0,0,0
"305BRS","305BRS",13,18.5,187,1.02,6.214,13.9,18.5,43.9,63.48,36.9438461538462,4,30.7692307692308,4,30.7692307692308
"305CAN","305CAN",28,4.225,156,0,0.07,1.675,4.225,14.375,30.83,15.0603571428571,4,14.2857142857143,2,7.14285714285714
"305CAR","305CAR",11,5.9,27.4,0.1,1.8,2.5,5.9,11.35,16.6,8.25454545454545,1,9.09090909090909,0,0
"305CAW049","305CAW049",1,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,0,0,0,0
"305CAW057","305CAW057",1,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,0,0,0,0
"305CAW097","305CAW097",1,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0,0,0,0
"305CAW161","305CAW161",1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0,0,0
"305CCUSGS","305CCUSGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"305CHE","305CHE",5,3.2,16.1,0.1,0.3,0.6,3.2,6.9,12.42,5.38,0,0,0,0
"305CHI","305CHI",86,23.5,2158,0,4.38,10.07,23.5,50.2,97.3,65.2611627906977,42,48.8372093023256,30,34.8837209302326
"305CLCSBR","305CLCSBR",1,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0,0,0,0
"305COR","305COR",68,13.15,656,0,1.426,5.185,13.15,34.125,73.7,33.5,23,33.8235294117647,15,22.0588235294118
"305COR2","305COR2",8,3.7,16,0,1.26,2.25,3.7,6.45,11.1,5.275,0,0,0,0
"305FRA","305FRA",67,151.2,789,2.98,37.66,106.1,151.2,213,298,176.01671641791,62,92.5373134328358,59,88.0597014925373
"305FUF","305FUF",22,51.95,345.2,7.4,17.86,31.15,51.95,73.775,155.6,73.9931818181818,17,77.2727272727273,14,63.6363636363636
"305HAR","305HAR",9,78.7,156.05,9.5,20.3,52.8,78.7,98.9,133.37,79.25,7,77.7777777777778,7,77.7777777777778
"305HOL","305HOL",3,7.6,14.3,1.4,2.64,4.5,7.6,10.95,12.96,7.76666666666667,0,0,0,0
"305LCS","305LCS",59,3.52,88.2,0,0.0800000000000001,1.25,3.52,6.195,11.12,6.13977966101695,2,3.38983050847458,1,1.69491525423729
"305LEA","305LEA",1,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,1,100,0,0
"305LGCACR","305LGCACR",1,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0,0,0,0
"305LGCBRC","305LGCBRC",1,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18,0,0,0,0
"305LHB","305LHB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
"305LLA","305LLA",21,20.1,224,5.5,11.1,12,20.1,39.2,42.5,39.9333333333333,8,38.0952380952381,4,19.047619047619
"305LUC","305LUC",5,5.2,5.8,0.1,1.34,3.2,5.2,5.3,5.6,3.92,0,0,0,0
"305MON","305MON",5,12.1,80.7,7.1,8.86,11.5,12.1,34.5,62.22,29.18,2,40,1,20
"305MUR","305MUR",15,27.2,1850,6.5,9.46,10.25,27.2,50.3,141.2,159.51,8,53.3333333333333,5,33.3333333333333
"305MVR","305MVR",3,23.8,30.2,13.6,15.64,18.7,23.8,27,28.92,22.5333333333333,1,33.3333333333333,0,0
"305OAK","305OAK",5,32.4,36.6,16.5,19.94,25.1,32.4,35,35.96,29.12,4,80,0,0
"305PAC","305PAC",14,3.25,16.8,0,0.156,1.5,3.25,5.55,8.92,4.25142857142857,0,0,0,0
"305PAJ","305PAJ",19,77.4,248,17,35.24,54.55,77.4,103.5,115.6,82.8131578947368,17,89.4736842105263,16,84.2105263157895
"305PES","305PES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
